address,price,bedrooms,bathrooms,url
"37-24 30th St #7B, Long Island City, NY 11101","$1,543,800",2 bds,2 ba,https://www.zillow.com/homedetails/37-24-30th-St-7B-Long-Island-City-NY-11101/2057527112_zpid/
"1135 45th Ave APT 2G, Long Island City, NY 11101","$995,000",1 bd,1 ba,https://www.zillow.com/homedetails/1135-45th-Ave-APT-2G-Long-Island-City-NY-11101/245418943_zpid/
"11-52 44th Dr #A2, Long Island City, NY 11101","$698,000",1 bd,1 ba,https://www.zillow.com/homedetails/11-52-44th-Dr-A2-Long-Island-City-NY-11101/452733102_zpid/
"47-01 Vernon Blvd #4C, Long Island City, NY 11101","$820,000",1 bd,1 ba,https://www.zillow.com/homedetails/47-01-Vernon-Blvd-4C-Long-Island-City-NY-11101/2066377577_zpid/
"10-17 Jackson Ave #6F, Long Island City, NY 11101","$778,000",1 bd,1 ba,https://www.zillow.com/homedetails/10-17-Jackson-Ave-6F-Long-Island-City-NY-11101/112517981_zpid/
"3409 37th Ave, Long Island City, NY 11101","$2,258,000",3 bds,2 ba,https://www.zillow.com/homedetails/3409-37th-Ave-Long-Island-City-NY-11101/31939916_zpid/
"1055 47th Ave APT 7F, Long Island City, NY 11101","$1,815,000",2 bds,2 ba,https://www.zillow.com/homedetails/1055-47th-Ave-APT-7F-Long-Island-City-NY-11101/83054076_zpid/
"27-09 40th Ave #5A, Long Island City, NY 11101","$1,280,000",2 bds,2 ba,https://www.zillow.com/homedetails/27-09-40th-Ave-5A-Long-Island-City-NY-11101/451078562_zpid/
"2-26 50th Ave #7F, Long Island City, NY 11101","$925,000",1 bd,1 ba,https://www.zillow.com/homedetails/2-26-50th-Ave-7F-Long-Island-City-NY-11101/117614308_zpid/
"519 Borden Ave APT 1C, Long Island City, NY 11101","$879,000",1 bd,1 ba,https://www.zillow.com/homedetails/519-Borden-Ave-APT-1C-Long-Island-City-NY-11101/112509773_zpid/
"27-17 42nd Rd #14G, Long Island City, NY 11101","$1,100,000",1 bd,1 ba,https://www.zillow.com/homedetails/27-17-42nd-Rd-14G-Long-Island-City-NY-11101/2071303245_zpid/
"46-30 21st St #4G, Long Island City, NY 11101","$1,360,000",2 bds,2 ba,https://www.zillow.com/homedetails/46-30-21st-St-4G-Long-Island-City-NY-11101/446229419_zpid/
"47-05 5th St #602, Long Island City, NY 11101","$1,600,000",2 bds,2 ba,https://www.zillow.com/homedetails/47-05-5th-St-602-Long-Island-City-NY-11101/245400599_zpid/
"240 51st Ave #2N, Long Island City, NY 11101","$899,000",1 bd,1 ba,https://www.zillow.com/homedetails/240-51st-Ave-2N-Long-Island-City-NY-11101/89025086_zpid/
"26-26 Jackson Ave #603, Long Island City, NY 11101","$925,000",1 bd,1 ba,https://www.zillow.com/homedetails/26-26-Jackson-Ave-603-Long-Island-City-NY-11101/2060789966_zpid/
"21-30 45th Rd UNIT 1, Long Island City, NY 11101","$965,000",1 bd,2 ba,https://www.zillow.com/homedetails/21-30-45th-Rd-UNIT-1-Long-Island-City-NY-11101/2069754702_zpid/
"4630 Center Blvd APT 602, Long Island City, NY 11109","$1,858,000",2 bds,2 ba,https://www.zillow.com/homedetails/4630-Center-Blvd-APT-602-Long-Island-City-NY-11109/94721229_zpid/
"27-20 42nd Rd #5A, Long Island City, NY 11101","$1,220,000",2 bds,1 ba,https://www.zillow.com/homedetails/27-20-42nd-Rd-5A-Long-Island-City-NY-11101/450644174_zpid/
"44-15 Purves St #3B, Long Island City, NY 11101","$899,999",1 bd,1 ba,https://www.zillow.com/homedetails/44-15-Purves-St-3B-Long-Island-City-NY-11101/2061164044_zpid/
"2728 Thomson Ave UNIT 135, Long Island City, NY 11101","$1,395,000",1 bd,2 ba,https://www.zillow.com/homedetails/2728-Thomson-Ave-UNIT-135-Long-Island-City-NY-11101/83053933_zpid/
"2401 Queens Plz N #604, Long Island City, NY 11101","$1,035,000",1 bd,1 ba,https://www.zillow.com/homedetails/2401-Queens-Plz-N-604-Long-Island-City-NY-11101/452995414_zpid/
"27-09 40th Ave #3C, Long Island City, NY 11101","$1,195,000",2 bds,2 ba,https://www.zillow.com/homedetails/27-09-40th-Ave-3C-Long-Island-City-NY-11101/348590933_zpid/
"3 Court Sq APT 3305, Long Island City, NY 11101","$1,598,000",2 bds,2 ba,https://www.zillow.com/homedetails/3-Court-Sq-APT-3305-Long-Island-City-NY-11101/2058458108_zpid/
"24-09 40th Avenue, Long Island City, NY 11101","$1,990,000",7 bds,3 ba,https://www.zillow.com/homedetails/2409-40th-Ave-Long-Island-City-NY-11101/31936629_zpid/
